iModulon,Gene
Sugar Diacid,cdaR
Sugar Diacid,yeaE
Sugar Diacid,dmlA
Sugar Diacid,ygbJ
Sugar Diacid,ygbK
Sugar Diacid,ygbL
Sugar Diacid,gudD
Sugar Diacid,gudX
Sugar Diacid,gudP
Sugar Diacid,garK
Sugar Diacid,garR
Sugar Diacid,garL
Sugar Diacid,garP
Sugar Diacid,garD
Translation,rpsB
Translation,tsf
Translation,rpmF
Translation,rpmI
Translation,rplY
Translation,rplS
Translation,trmD
Translation,rimM
Translation,rpsP
Translation,truB
Translation,rbfA
Translation,rpsI
Translation,rplM
Translation,rplQ
Translation,rpoA
Translation,rpsD
Translation,rpsK
Translation,rpsM
Translation,rpmJ
Translation,secY
Translation,rplO
Translation,rpmD
Translation,rpsE
Translation,rplR
Translation,rplF
Translation,rpsH
Translation,rpsN
Translation,rplE
Translation,rplX
Translation,rplN
Translation,rpsQ
Translation,rpmC
Translation,rplP
Translation,rpsC
Translation,rplV
Translation,rpsS
Translation,rplB
Translation,rplW
Translation,rplD
Translation,rplC
Translation,rpsJ
Translation,fusA
Translation,rpsG
Translation,rpsL
Translation,rplK
Translation,rplA
Translation,rplJ
Translation,rplL
Translation,rpoC
Translation,rpsF
Translation,priB
Translation,rpsR
Translation,rplI
ygdT,ydfA
ygdT,ghoT
ygdT,ygdT
OxyR,yaaA
OxyR,pdeL
OxyR,hemH
OxyR,ahpC
OxyR,ahpF
OxyR,fur
OxyR,dps
OxyR,grxA
OxyR,ybjC
OxyR,clpS
OxyR,clpA
OxyR,trxB
OxyR,hdhA
OxyR,cfa
OxyR,mdtK
OxyR,sufS
OxyR,sufD
OxyR,sufC
OxyR,sufB
OxyR,sufA
OxyR,xthA
OxyR,cspC
OxyR,yobF
OxyR,yeiB
OxyR,hemF
OxyR,mltF
OxyR,trxC
OxyR,tapT
OxyR,fhlA
OxyR,nfeF
OxyR,glpG
OxyR,glpE
OxyR,ccp
OxyR,treF
OxyR,katG
OxyR,yijE
OxyR,oxyR
OxyR,fhuF
FlhDC-2,flgN
FlhDC-2,flgM
FlhDC-2,flgA
FlhDC-2,flgB
FlhDC-2,flgC
FlhDC-2,flgD
FlhDC-2,flgE
FlhDC-2,flgF
FlhDC-2,flgG
FlhDC-2,flgH
FlhDC-2,flgI
FlhDC-2,flgJ
FlhDC-2,flgK
FlhDC-2,flgL
FlhDC-2,ves
FlhDC-2,ynjH
FlhDC-2,flhE
FlhDC-2,flhA
FlhDC-2,flhB
FlhDC-2,tar
FlhDC-2,flhC
FlhDC-2,flhD
FlhDC-2,yecR
FlhDC-2,fliZ
FlhDC-2,fliA
FlhDC-2,fliD
FlhDC-2,fliS
FlhDC-2,fliT
FlhDC-2,fliE
FlhDC-2,fliF
FlhDC-2,fliG
FlhDC-2,fliH
FlhDC-2,fliI
FlhDC-2,fliJ
FlhDC-2,fliK
FlhDC-2,fliL
FlhDC-2,fliM
FlhDC-2,fliN
FlhDC-2,fliO
FlhDC-2,fliP
FlhDC-2,fliQ
FlhDC-2,fliR
FlhDC-2,tsr
Osmoprotectant,proV
Osmoprotectant,proW
Osmoprotectant,proX
Osmoprotectant,ygaY
Glutamine,gltJ
Glutamine,glnQ
Glutamine,glnP
Glutamine,glnH
Glutamine,hisJ
Glutamine,argT
Glutamine,asnA
Glutamine,glnL
Glutamine,glnA
Sialic Acid,thrA
Sialic Acid,lysA
Sialic Acid,nanQ
Sialic Acid,nanK
Sialic Acid,nanE
Sialic Acid,nanT
Sialic Acid,nanA
Sialic Acid,adiY
Sialic Acid,nanX
Sialic Acid,nanY
Sialic Acid,nanS
Sialic Acid,nanM
Sialic Acid,nanC
yqhI,cspH
yqhI,yqhI
ROS TALE Amp,insF2
ROS TALE Amp,insF3
ROS TALE Amp,emrE
ROS TALE Amp,ybcK
ROS TALE Amp,ybcL
ROS TALE Amp,ybcM
ROS TALE Amp,insF4
ROS TALE Amp,insE4
ROS TALE Amp,ylcJ
Nucleotide Stress,rnk
Nucleotide Stress,ynfM
Nucleotide Stress,ftp
Nucleotide Stress,yfgJ
Nucleotide Stress,recX
Nucleotide Stress,ygcW
Nucleotide Stress,yqcC
Nucleotide Stress,dnaG
Nucleotide Stress,greA
Nucleotide Stress,obgE
Nucleotide Stress,yhbE
Nucleotide Stress,rarD
Nucleotide Stress,yjaA
Nucleotide Stress,yjbE
Nucleotide Stress,yjeT
Histidine,hisG
Histidine,hisD
Histidine,hisC
Histidine,hisB
Histidine,hisH
Histidine,hisA
Histidine,hisF
Histidine,hisI
Histidine,serB
UC-4,yaaX
UC-4,ivy
UC-4,yaiY
UC-4,yajI
UC-4,ybdR
UC-4,ybgS
UC-4,ycfJ
UC-4,ymgD
UC-4,ymgG
UC-4,osmB
UC-4,hslJ
UC-4,ydcF
UC-4,bdm
UC-4,ydeI
UC-4,ydeJ
UC-4,mliC
UC-4,spy
UC-4,rcsA
UC-4,yegS
UC-4,ypeC
UC-4,ypfG
UC-4,ygaC
UC-4,iap
UC-4,ygdI
UC-4,ygdR
UC-4,yggE
UC-4,loiP
UC-4,galP
UC-4,ygiM
UC-4,yhbO
UC-4,yiaD
UC-4,yjbE
UC-4,yjbF
UC-4,treR
UC-4,osmY
UC-4,yjdP
UC-4,ysaB
UC-4,ytjA
UC-4,ymgI
RpoH,dnaK
RpoH,dnaJ
RpoH,insL1
RpoH,lon
RpoH,htpG
RpoH,cnoX
RpoH,insL2
RpoH,ybeD
RpoH,ybeY
RpoH,ybeZ
RpoH,hspQ
RpoH,bssS
RpoH,mfd
RpoH,ycjX
RpoH,ycjF
RpoH,ldhA
RpoH,gapA
RpoH,yeaD
RpoH,insL3
RpoH,clpB
RpoH,grpE
RpoH,rlmE
RpoH,zntR
RpoH,yhdN
RpoH,tusB
RpoH,yrfG
RpoH,hslR
RpoH,hslO
RpoH,rsmJ
RpoH,prlC
RpoH,mutM
RpoH,ibpB
RpoH,ibpA
RpoH,hslU
RpoH,hslV
RpoH,malE
RpoH,soxR
RpoH,fxsA
RpoH,groS
RpoH,groL
RpoH,miaA
FucR/AllR/AraC,araD
FucR/AllR/AraC,araA
FucR/AllR/AraC,araB
FucR/AllR/AraC,allA
FucR/AllR/AraC,gcl
FucR/AllR/AraC,hyi
FucR/AllR/AraC,glxR
FucR/AllR/AraC,allW
FucR/AllR/AraC,allB
FucR/AllR/AraC,ybbY
FucR/AllR/AraC,araG
FucR/AllR/AraC,araF
FucR/AllR/AraC,fucO
FucR/AllR/AraC,fucA
FucR/AllR/AraC,fucP
FucR/AllR/AraC,fucI
FucR/AllR/AraC,fucK
FucR/AllR/AraC,fucU
FucR/AllR/AraC,araE
FucR/AllR/AraC,araH
ldrC,ldrC
Ferric Citrate,entC
Ferric Citrate,ubiC
Ferric Citrate,fecE
Ferric Citrate,fecD
Ferric Citrate,fecC
Ferric Citrate,fecB
Ferric Citrate,fecA
Zinc-1,cueO
Zinc-1,ykgM
Zinc-1,copA
Zinc-1,pliG
Zinc-1,mepM
Zinc-1,znuA
Zinc-1,znuC
Zinc-1,znuB
Zinc-1,zinT
Zinc-1,yodB
Zinc-1,rcnA
Zinc-1,zntA
Zinc-1,rpmE
Zinc-1,ykgO
Methionine,metQ
Methionine,metI
Methionine,metN
Methionine,mmuP
Methionine,mmuM
Methionine,hcxA
Methionine,ybdL
Methionine,yddB
Methionine,yddA
Methionine,cspB
Methionine,metK
Methionine,metC
Methionine,yghB
Methionine,metR
Methionine,metE
Methionine,yiiX
Methionine,metJ
Methionine,metB
Methionine,metL
Methionine,metF
Methionine,metA
Sorbitol,srlA
Sorbitol,srlE
Sorbitol,srlB
Sorbitol,srlD
Sorbitol,gutM
Sorbitol,srlR
Glycerol,dhaL
Glycerol,dhaK
Glycerol,glpQ
Glycerol,glpT
Glycerol,glpA
Glycerol,glpB
Glycerol,glpC
Glycerol,glpD
Glycerol,glpX
Glycerol,glpK
Glycerol,glpF
Nucleoside,tsx
Nucleoside,ycdZ
Nucleoside,cdd
Nucleoside,nupG
Nucleoside,tsgA
Nucleoside,nirB
Nucleoside,nirD
Nucleoside,udp
Nucleoside,yjcB
Nucleoside,deoC
Nucleoside,deoA
SoxS,lpxC
SoxS,gcd
SoxS,yadM
SoxS,dgt
SoxS,degP
SoxS,glnD
SoxS,map
