sample_id,study,condition,strain description,strain,culture type,evolved sample,base media,temperature (c),pH,carbon source (g/L),nitrogen source (g/L),electron acceptor,trace element mixture,supplement,antibiotic for selection,growth rate (1/hr),isolate type,additional details,biological replicates,doi,run_date,n_replicates
control__wt_glc__1,Control,wt_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,doi.org/10.1093/nar/gky069,4/17/2013,2
control__wt_glc__2,Control,wt_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,,,,2,doi.org/10.1093/nar/gky069,4/17/2013,2
fur__wt_dpd__1,Fur,wt_dpd,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),,0,,,2,doi.org/10.1038/ncomms5910,10/2/2013,2
fur__wt_dpd__2,Fur,wt_dpd,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),,0,,,2,doi.org/10.1038/ncomms5910,10/2/2013,2
fur__wt_fe__1,Fur,wt_fe,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),,1.06,,,2,doi.org/10.1038/ncomms5910,9/5/2013,2
fur__wt_fe__2,Fur,wt_fe,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),,1.06,,,2,doi.org/10.1038/ncomms5910,9/5/2013,2
fur__delfur_dpd__1,Fur,delfur_dpd,Escherichia coli K-12 MG1655 del_fur,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),Kanamycin (50 ug/mL),0,,,2,doi.org/10.1038/ncomms5910,10/2/2013,2
fur__delfur_dpd__2,Fur,delfur_dpd,Escherichia coli K-12 MG1655 del_fur,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),Kanamycin (50 ug/mL),0,,,2,doi.org/10.1038/ncomms5910,10/2/2013,2
fur__delfur_fe2__1,Fur,delfur_fe2,Escherichia coli K-12 MG1655 del_fur,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),Kanamycin (50 ug/mL),0.62,,,2,doi.org/10.1038/ncomms5910,9/5/2013,2
fur__delfur_fe2__2,Fur,delfur_fe2,Escherichia coli K-12 MG1655 del_fur,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),Kanamycin (50 ug/mL),0.62,,,2,doi.org/10.1038/ncomms5910,9/5/2013,2
acid__wt_ph5__1,Acid,wt_ph5,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,5.5,glucose(2),NH4Cl(1),O2,,,,,,,2,doi.org/10.1038/ncomms8970,7/15/2014,2
acid__wt_ph5__2,Acid,wt_ph5,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,5.5,glucose(2),NH4Cl(1),O2,,,,,,,2,doi.org/10.1038/ncomms8970,7/15/2014,2
acid__delgadx_ph5__2,Acid,delgadx_ph5,Escherichia coli K-12 MG1655 del_gadX,MG1655,Batch,No,M9,37,5.5,glucose(2),NH4Cl(1),O2,,,Kanamycin (50 ug/mL),,,,2,doi.org/10.1038/ncomms8970,7/17/2014,1
acid__delgadw_ph5__1,Acid,delgadw_ph5,Escherichia coli K-12 MG1655 del_gadW,MG1655,Batch,No,M9,37,5.5,glucose(2),NH4Cl(1),O2,,,Kanamycin (50 ug/mL),,,,2,doi.org/10.1038/ncomms8970,7/16/2014,2
acid__delgadw_ph5__2,Acid,delgadw_ph5,Escherichia coli K-12 MG1655 del_gadW,MG1655,Batch,No,M9,37,5.5,glucose(2),NH4Cl(1),O2,,,Kanamycin (50 ug/mL),,,,2,doi.org/10.1038/ncomms8970,7/16/2014,2
acid__delgade_ph5__1,Acid,delgade_ph5,Escherichia coli K-12 MG1655 del_gadE,MG1655,Batch,No,M9,37,5.5,glucose(2),NH4Cl(1),O2,,,Kanamycin (50 ug/mL),,,,2,doi.org/10.1038/ncomms8970,7/16/2014,2
acid__delgade_ph5__2,Acid,delgade_ph5,Escherichia coli K-12 MG1655 del_gadE,MG1655,Batch,No,M9,37,5.5,glucose(2),NH4Cl(1),O2,,,Kanamycin (50 ug/mL),,,,2,doi.org/10.1038/ncomms8970,7/16/2014,2
oxidative__wt_pq__1,Oxidative,wt_pq,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,PQ (250uM),,0,,,2,doi.org/10.1016/j.celrep.2015.07.043,8/27/2014,2
oxidative__wt_pq__2,Oxidative,wt_pq,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,PQ (250uM),,0,,,2,doi.org/10.1016/j.celrep.2015.07.043,8/27/2014,2
oxidative__deloxyr_pq__1,Oxidative,deloxyr_pq,Escherichia coli K-12 MG1655 del_oxyR,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,PQ (250uM),Kanamycin (50 ug/mL),0,,,2,doi.org/10.1016/j.celrep.2015.07.043,9/4/2014,2
oxidative__deloxyr_pq__2,Oxidative,deloxyr_pq,Escherichia coli K-12 MG1655 del_oxyR,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,PQ (250uM),Kanamycin (50 ug/mL),0,,,2,doi.org/10.1016/j.celrep.2015.07.043,9/4/2014,2
oxidative__delsoxr_pq__1,Oxidative,delsoxr_pq,Escherichia coli K-12 MG1655 del_soxR,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,PQ (250uM),Kanamycin (50 ug/mL),0,,,2,doi.org/10.1016/j.celrep.2015.07.043,9/4/2014,2
oxidative__delsoxr_pq__2,Oxidative,delsoxr_pq,Escherichia coli K-12 MG1655 del_soxR,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,PQ (250uM),Kanamycin (50 ug/mL),0,,,2,doi.org/10.1016/j.celrep.2015.07.043,9/4/2014,2
oxidative__delsoxs_pq__1,Oxidative,delsoxs_pq,Escherichia coli K-12 MG1655 del_soxS,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,PQ (250uM),Kanamycin (50 ug/mL),0,,,2,doi.org/10.1016/j.celrep.2015.07.043,9/18/2014,2
oxidative__delsoxs_pq__2,Oxidative,delsoxs_pq,Escherichia coli K-12 MG1655 del_soxS,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,PQ (250uM),Kanamycin (50 ug/mL),0,,,2,doi.org/10.1016/j.celrep.2015.07.043,9/18/2014,2
nac_ntrc__wt_csn__1,Nac/NtrC,wt_csn,Escherichia coli K-12 MG1655,MG1655,Batch,No,W2,37,7,glucose(2),cytosine(2),O2,,,,,,,2,escholarship.org/uc/item/0k4709x6,4/18/2013,2
nac_ntrc__wt_csn__2,Nac/NtrC,wt_csn,Escherichia coli K-12 MG1655,MG1655,Batch,No,W2,37,7,glucose(2),cytosine(2),O2,,,,,,,2,escholarship.org/uc/item/0k4709x6,4/18/2013,2
nac_ntrc__wt_cytd__1,Nac/NtrC,wt_cytd,Escherichia coli K-12 MG1655,MG1655,Batch,No,W2,37,7,glucose(2),cytidine(2),O2,,,,,,,2,escholarship.org/uc/item/0k4709x6,4/17/2013,2
nac_ntrc__wt_cytd__2,Nac/NtrC,wt_cytd,Escherichia coli K-12 MG1655,MG1655,Batch,No,W2,37,7,glucose(2),cytidine(2),O2,,,,,,,2,escholarship.org/uc/item/0k4709x6,4/17/2013,2
nac_ntrc__wt_gln__1,Nac/NtrC,wt_gln,Escherichia coli K-12 MG1655,MG1655,Batch,No,W2,37,7,glucose(2),glutamine(2),O2,,,,,,,2,escholarship.org/uc/item/0k4709x6,4/17/2013,2
nac_ntrc__wt_gln__2,Nac/NtrC,wt_gln,Escherichia coli K-12 MG1655,MG1655,Batch,No,W2,37,7,glucose(2),glutamine(2),O2,,,,,,,2,escholarship.org/uc/item/0k4709x6,4/17/2013,2
nac_ntrc__bw_delnac_csn__1,Nac/NtrC,bw_delnac_csn,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,W2,37,7,glucose(2),cytosine(2),O2,,,Kanamycin,,,,2,escholarship.org/uc/item/0k4709x6,2/16/2016,2
nac_ntrc__bw_delnac_csn__2,Nac/NtrC,bw_delnac_csn,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,W2,37,7,glucose(2),cytosine(2),O2,,,Kanamycin,,,,2,escholarship.org/uc/item/0k4709x6,2/16/2016,2
nac_ntrc__bw_delnac_cytd__1,Nac/NtrC,bw_delnac_cytd,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,W2,37,7,glucose(2),cytidine(2),O2,,,Kanamycin,,,,2,escholarship.org/uc/item/0k4709x6,2/16/2016,2
nac_ntrc__bw_delnac_cytd__2,Nac/NtrC,bw_delnac_cytd,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,W2,37,7,glucose(2),cytidine(2),O2,,,Kanamycin,,,,2,escholarship.org/uc/item/0k4709x6,2/16/2016,2
nac_ntrc__bw_delnac_gln__1,Nac/NtrC,bw_delnac_gln,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,W2,37,7,glucose(2),glutamine(2),O2,,,Kanamycin,,,,2,escholarship.org/uc/item/0k4709x6,2/16/2016,2
nac_ntrc__bw_delnac_gln__2,Nac/NtrC,bw_delnac_gln,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,W2,37,7,glucose(2),glutamine(2),O2,,,Kanamycin,,,,2,escholarship.org/uc/item/0k4709x6,2/16/2016,2
nac_ntrc__bw_delnac_nh4__1,Nac/NtrC,bw_delnac_nh4,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,,Kanamycin,,,,2,escholarship.org/uc/item/0k4709x6,2/16/2016,2
nac_ntrc__bw_delnac_nh4__2,Nac/NtrC,bw_delnac_nh4,Escherichia coli K-12 BW25113 del_nac,BW25113,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,,Kanamycin,,,,2,escholarship.org/uc/item/0k4709x6,2/16/2016,2
misc__wt_no_te__1,Misc,wt_no_te,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,doi.org/10.1038/s41467-019-13483-w,3/13/2015,2
misc__wt_no_te__2,Misc,wt_no_te,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,,2,doi.org/10.1038/s41467-019-13483-w,3/13/2015,2
misc__bw_delcbl__1,Misc,bw_delcbl,Escherichia coli K-12 BW25113 del_cbl,BW25113,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,,,,2,doi.org/10.1038/s41467-019-13483-w,7/29/2015,2
